sentiment,texte
positive,"A Helsinki : ELIiV a annoncé aujourd'hui un BPA de 1,13 EUR pour 2009 , en hausse par rapport au BPA de 1,12 EUR de 2008 ."
positive,"Aspo Plc COMMUNIQUÉ DE BOURSE 11 février 2011 à 8 h 45 ESL Shipping Ltd, qui fait partie du groupe Aspo, a signé un nouveau contrat à long terme avec Rautaruukki Corporation pour le transport maritime de matières premières sur la mer Baltique."
positive,"Les revenus de commissions ont augmenté de 22 % à 4,4 millions d'euros et le volume des prêts a augmenté de 13,5 %."
positive,"En janvier , le trafic , mesuré en passagers - kilomètres payants RPK , a augmenté de 3,2 % et la capacité , mesurée en sièges - kilomètres disponibles ASK , a augmenté de 12,2 % ."
positive,"Entre janvier et septembre 2010, le bénéfice net de Fiskars a augmenté de 14 % sur un an à 65,4 millions d'euros et le chiffre d'affaires net à 525,3 millions d'euros contre 487,7 millions d'euros."
positive,"Le résultat net de l'assurance vie s'élève à 16,5 millions d'euros contre 14,0 millions d'euros et le résultat net de l'assurance non-vie à 22,6 millions d'euros contre 15,2 millions d'euros en 2009."
positive,Nyrstar a également accepté de fournir à Talvivaara jusqu'à 150 000 tonnes d'acide sulfurique par an pour utilisation dans le processus de lixiviation de Talvivaara pendant la période de fourniture du zinc sous forme de concentré.
positive,"Les ventes de la division Grands Magasins et de Hobby Hall ont augmenté de 7 %, tandis que les ventes de la filiale de magasin de vêtements Seppala ont diminué de 4 %."
positive,Les ventes ont augmenté sur d'autres marchés d'exportation.
positive,Les ventes ont augmenté en raison de la croissance des taux du marché et de l'augmentation des opérations.
positive,Cet accord renforce notre partenariat à long terme avec Nokia Siemens Networks.
positive,"L'accord a été signé avec Biohit Healthcare Ltd, la filiale britannique de Biohit Oyj, une société publique finlandaise qui développe, fabrique et commercialise des produits de manipulation de liquides et des systèmes de tests de diagnostic."
positive,"L'entreprise estime également que les investissements déjà réalisés entraîneront une augmentation de son chiffre d'affaires net pour 2010 par rapport à 2009 où il avait atteint 141,7 millions d'euros."
positive,"Le carnet de commandes de la société s'élevait à 1,5 milliard d'euros contre 2,2 milliards de dollars au 30 septembre 2007, en hausse de 24,2% sur un an, avec des commandes internationales s'élevant à 365 millions d'euros contre 534,3 millions de dollars."
positive,"La société a déclaré que la demande de papier avait augmenté sur tous ses principaux marchés, y compris celui des papiers de publication, et qu'elle avait augmenté les prix moyens du papier de 4 pour cent par rapport à l'année dernière."
positive,"Le deuxième fabricant mondial d'acier inoxydable a déclaré que son bénéfice net pour la période de trois mois précédant le 31 décembre a bondi à 603 millions d'euros, soit 781 millions de dollars américains, soit 3,33 euros, contre 4,31 dollars américains par action, contre 172 millions d'euros, ou 0,94 euros par action. part , l'année précédente ."
positive,"Dans le cadre de ce partenariat, Nokia Siemens Networks a signé un premier accord-cadre d'achat avec la filiale de Sitronics, JSC Mikron, qui est le plus grand fabricant et exportateur de composants microélectroniques en Russie."
positive,"Le chiffre d'affaires de Seppala a augmenté de 0,2 % à 10,1 MEUR. En Finlande, le chiffre d'affaires a diminué de 2,4 % à 6,8 millions d'euros, tandis que les ventes à l'étranger ont augmenté de 6,2 % à 3,3 millions d'euros. Les ventes ont augmenté dans tous les pays baltes ainsi qu'en Russie et en Ukraine."
positive,"Les actions de Standard Chartered (STAN) ont augmenté de 1,2 % dans le FTSE 100, tandis que les actions de Royal Bank of Scotland (RBS) ont augmenté de 2 % et celles de Barclays (BARC) (BCS) de 1,7 %."
positive,Les actions de Nokia Corp. ont augmenté jeudi après que le fabricant de téléphones portables a déclaré que ses bénéfices du troisième trimestre avaient presque doublé et que sa part du marché mondial des téléphones portables avait augmenté.
positive,"Dans son rapport financier, publié vendredi, SEB a déclaré que son bénéfice net a grimpé à 6,745 milliards de SEK en 2010 contre 1,114 milliard de SEK un an plus tôt et a proposé une augmentation de 50 % du dividende à 1,50 SEK par action."
positive,Les ventes de la division Grands Magasins ont augmenté de 15 % et les ventes de la filiale de magasin de vêtements Seppala ont augmenté de 8 % tandis que les ventes de Hobby Hall ont diminué de 12 % .
neutral,"À la demande des journaux de l'entreprise médiatique finlandaise Alma Media, le directeur de recherche Jari Kaivo-oja du Centre de recherche sur l'avenir de la Finlande à l'École d'économie de Turku a élaboré un scénario futur pour l'économie nationale finlandaise en utilisant un modèle développé par l'Université de Denver."
neutral,"En Suède, les ventes cumulées en SEK de Gallerix ont diminué de 1 % et les ventes en euros ont augmenté de 11 %."
neutral,La société aide ses clients internationaux à développer de nouvelles technologies et propose un parcours rapide depuis le développement de produits jusqu'aux applications et à la production en volume.
neutral,"Une fois cet investissement réalisé, Atria prévoit de se développer sur le marché de Moscou."
neutral,"« Le nouvel accord s'inscrit dans la continuité de l'accord signé plus tôt cette année avec le groupe Lemminkainen, par lequel Cramo a acquis l'ensemble du parc de machines de construction de Lemminkainen Talo Oy Ita-ja Pohjois Suomo et a signé un accord similaire », a déclaré Tatu Hauhio, directeur général de Cramo. Finlande."
positive,"Au début, le contrat prévoyait la construction de trois ferry-boats avec une option pour deux unités supplémentaires, confirmée pour une valeur totale de 500 millions d'euros (645,8 millions de dollars)."
neutral,"En juin, elle a vendu une participation de 30 pour cent à Nordstjernan et le groupe d'investissement a désormais accepté l'option d'acquérir les actions restantes d'EQT."
positive,"KESKO CORPORATION COMMUNIQUÉ DE BOURSE 28.02.2008 À 09h30 1 (1) Kesko Corporation et Aspo plc ont signé aujourd'hui un accord par lequel Aspo acquiert le capital social de Kauko-Telko Ltd, une filiale entièrement détenue par Kesko."
positive,"Sponda Plc Communiqué de Bourse le 5 décembre 2006 à 15,45 EUR FACILITÉ DE CRÉDIT SYNDIQUÉE DE 1,5 MILLIARD D'EUR POUR SPONDA Sponda a signé un accord pour une facilité de crédit syndiquée d'un an pour un total de 1,5 milliard d'euros."
neutral,"ANNONCE DE BOURSE 20 juillet 2006 1 (1) SOUSCRIPTIONS D'ACTIONS BASWARE AVEC WARRANTS ET AUGMENTATION DU CAPITAL SOCIAL Au total, 119 850 actions ont été souscrites dans le cadre du Programme de Warrants BasWare."
positive,"Le contrat couvre la plate-forme HDO, les nœuds optiques Fttb AC800 et CXE880 conçus pour augmenter la capacité des trajets aller et retour des réseaux de transmission."
neutral,La nouvelle centrale devrait avoir une capacité de production d'électricité allant jusqu'à 350 mégawatts (MW) et la même capacité de production de chaleur.
positive,"L'indice OMX Helsinki 25 a augmenté de 0,92% à 2 518,67 et l'indice de portefeuille Helsinki CAP a augmenté de 0,91% à 4 711,19."
neutral,"- Ainsi , la croissance des ventes de voitures influence considérablement sur le marché des pneus '' ."
neutral,Un maximum de 666 104 actions nouvelles pourront en outre être souscrites par exercice d'options B dans le cadre du plan d'options de souscription 2004.
neutral,"Suite à l'augmentation de capital, le nombre d'actions de la société augmente de 391.630 actions et le capital social d'un total de 15.665,20 EUR."
neutral,"L'investisseur immobilier finlandais Sponda Plc a annoncé mercredi 12 mars avoir signé des accords avec Danske Bank A-S, succursale d'Helsinki pour une facilité de crédit de 150 millions d'euros sur 7 ans et avec Ilmarinen Mutual Pension Insurance Company pour une facilité de crédit de 50 millions d'euros sur 7 ans."
neutral,"Sur la route entre Helsinki en Finlande et Tallinn en Estonie, les volumes de fret ont augmenté de 36 %, tandis que les volumes de fret entre la Finlande et la Suède ont diminué de 9 %."
neutral,"D'autres mesures comprenaient l'augmentation des synergies et des économies d'échelle au sein du Groupe Grimaldi ainsi que des ajustements de personnel, des désinvestissements et la relivraison du tonnage excédentaire."
positive,"Rinkuskiai a augmenté ses ventes de 18,1 pour cent, à 1,37 millions de litres, tandis que celles de Kauno Alus ont augmenté de 14,3 pour cent, à 960 000 litres."
neutral,TELECOMWORLDWIRE-7 avril 2006-TJ Group Plc vend sa participation dans Morning Digital Design Oy La société informatique finlandaise TJ Group Plc a annoncé vendredi 7 avril avoir signé un accord sur la vente de ses actions de Morning Digital Design Oy à Edita Oyj.
positive,TELECOMWORLDWIRE-7 avril 2006-TJ Group Plc vend sa participation dans Morning Digital Design Oy La société informatique finlandaise TJ Group Plc a annoncé vendredi 7 avril avoir signé un accord sur la vente de ses actions de Morning Digital Design Oy à Edita Oyj.
neutral,"Les 718 430 nouvelles actions de série A seront négociées à la cote principale de la Bourse d'Helsinki, avec les anciennes actions de série A, le 3 juillet 2006."
neutral,Les contrats d'achat de carburant ont été signés avec une livraison de trois mois de septembre à novembre.
neutral,"Tiimari exploite 194 magasins dans six pays -- y compris son principal marché finlandais -- et a généré un chiffre d' affaires de 76,5 millions d' euros en 2005 ."
positive,"En vertu de cet accord, Biohit devient un fournisseur privilégié de pipettes et d'embouts de pipettes jetables pour les clients de VWR dans toute l'Europe."
positive,"La combinaison de tous les services nous permet d'offrir une chaîne de services complexe et renforcée, non seulement limitée aux connexions portuaires de la Baltique, mais également à l'accès au réseau mondial Grimaldi vers la Méditerranée, l'Afrique et l'Amérique du Nord », explique Uwe Bakosch."
neutral,Aucun angle mort provenant d'un point d'observation unique permet aux enquêteurs de voir toute l'histoire en haute résolution sans vidéo ininterrompue.
positive,"L'entreprise s'attend toujours à ce que son chiffre d'affaires en 2010 augmente légèrement par rapport à 2009, ajoutant que « la prévisibilité du marché est encore trop mauvaise pour des prévisions fiables sur le développement du marché de la fabrication sous contrat au cours de l'année en cours »."
positive,L'acquisition augmentera considérablement les ventes et la position de Kemira sur le marché russe des revêtements pour l'industrie métallurgique.
positive,"Entre janvier et septembre 2007, les ventes nettes de Finnlines ont atteint 505,4 millions d'euros, contre 473,5 millions d'euros pour la période correspondante de 2006."
positive,"Corrigé des effets de périmètre, le chiffre d'affaires de la Division augmente de 1,7 %."
positive,"« Ce changement optimisera l'efficacité opérationnelle de notre activité en pleine croissance », a déclaré Julia Prohaska, directrice des communications marketing de Fiskars."
positive,""" Ils investiraient non seulement dans l' infrastructure physique , mais fourniraient également le savoir - faire pour gérer et développer les parcs scientifiques et technologiques "" , a déclaré Andrius Bagdonas , directeur de Sunrise Valley ."
positive,"4 février 2011 - Le fournisseur finlandais de systèmes de communication de données à haut débit Teleste Oyj HEL ​​: TLT1V a vu son bénéfice net grimper à 2,1 millions d'euros pour le dernier trimestre 2010, contre 995 000 euros pour la même période de 2009."
positive,"Le bénéfice d' exploitation du groupe finlandais Aktia a augmenté à 17,5 millions d' euros au premier trimestre 2010 , contre 8,2 millions d' euros au premier trimestre 2009 ."
positive,"Le résultat opérationnel net consolidé de la Banque finlandaise de +_land est passé de 4,8 millions d' euros au premier trimestre 2005 à 6,4 millions d' euros au premier trimestre 2006 ."
positive,"Le groupe financier finlandais Aktia a annoncé un bénéfice d'exploitation de 44,4 millions d'euros pour la période janvier-septembre 2009, contre 37,3 millions d'euros pour la période correspondante de 2008."
positive,"Le fournisseur finlandais de haute technologie Vaahto Group annonce un chiffre d'affaires net de 41,8 millions d'euros pour la période comptable septembre 2007-février 2008, soit une augmentation de 11,2 % par rapport à l'année précédente."
positive,"Le chiffre d' affaires net des activités poursuivies de l' entreprise finlandaise de l' industrie alimentaire L+nnen Tehtaat a augmenté de 13 % en 2008 pour atteindre 349,1 millions d' euros contre 309,6 millions d' euros en 2007 ."
positive,Une promotion individuelle a également généré des revenus légèrement supérieurs aux attentes .
positive,Biohit dessert déjà de nombreux clients actuels de Genesis et la clientèle devrait s'élargir grâce à cet accord.
positive,"Le bénéfice d'exploitation et le chiffre d'affaires pour la période de trois mois ont augmenté respectivement de 0,9 million d'euros et 8,3 millions d'euros par rapport à la période correspondante de 2005."
positive,Les recettes de diffusion ont augmenté de 5 % en Finlande et de 4 % en Suède en 2008 .
positive,"Le chiffre d'affaires net de la chaîne de vêtements Sepp+�l+� a augmenté de 7,0 % à 30,8 millions d'euros."
positive,"Entre-temps, les volumes de construction augmentent à un rythme de 10 à 15 pour cent par an."
positive,Les marchés finlandais et suédois de la construction connaissent toujours une croissance annuelle estimée à 4 % en 2008 .
positive,Biohit estime toutefois que son chiffre d' affaires net total continuera à croître en 2009 et que des tendances favorables dans le chiffre d' affaires net se traduiront par un bénéfice en 2009 .
positive,"En 2009, les flux de trésorerie de Fiskars provenant des activités opérationnelles se sont élevés à 121 millions d'euros, contre 97 millions d'euros l'année précédente."
positive,"En Lituanie, le bénéfice d'exploitation a augmenté à 190 000 euros contre 70 000 euros au cours de la période correspondante en 2005."
positive,"Au quatrième trimestre 2008 , le chiffre d' affaires net a augmenté de 2 % à 1.050,7 millions d' euros contre 1.027,0 millions d' euros au quatrième trimestre 2007 ."
positive,"Les ventes internationales ont augmenté de 59,8 % à 1.244,4 millions d'euros."
neutral,"Kalmar Espana a généré un chiffre d' affaires net d' environ 11,3 millions d' euros ( 14,8 millions de dollars ) en 2005 ."
positive,Les ventes nettes ont augmenté au cours de la période pour atteindre 402 millions de x20ac ( 585 millions de dollars américains ) contre 401 millions de x20ac en 2006 .
positive,"Le chiffre d'affaires net a augmenté pour atteindre 655 millions d'euros entre avril et juin 2010, contre 438 millions d'euros un an plus tôt."
positive,"Les ventes nettes ont augmenté de 25,5 % sur un an à 59,6 millions d'euros, le nombre de chargeurs livrés ayant augmenté de 41 % à 65,9 millions de pièces."
positive,"Le chiffre d'affaires net s'est élevé à 93,6 millions d'euros, contre 93,2 millions d'euros pour la période correspondante en 2005."
positive,"Nokia a également noté que le prix de vente moyen des téléphones mobiles avait diminué au cours de la période, bien que sa marge bénéficiaire sur les téléphones mobiles ait augmenté à plus de 22 pour cent, contre 13 pour cent au trimestre de l'année précédente."
positive,"Le résultat opérationnel a augmenté de 145,1 % à 8,3 millions d'euros contre 3,4 millions d'euros."
positive,"La marge bénéficiaire opérationnelle a augmenté de 11,2 % à 11,7 % ."
positive,"Le résultat d'exploitation a progressé à 3,11 millions d'euros contre 1,22 million d'euros pour la période correspondante en 2009."
positive,"Le bénéfice d'exploitation a augmenté à 5 millions d'euros contre 2,8 millions d'euros au quatrième trimestre 2008."
positive,"Le bénéfice d'exploitation s'est élevé à 24,5 millions d'euros, contre 23,0 millions d'euros."
positive,"Les ventes nettes de Ramirent au cours du deuxième trimestre clos le 30 juin se sont élevées à 128,7 millions d'euros, soit environ 163 millions de dollars américains, soit une augmentation de 3,3 pour cent par rapport aux 124,6 millions d'euros du deuxième trimestre de l'année dernière."
positive,"Les revenus ont augmenté de 2 pour cent à x20ac 580 millions 743 millions de dollars, contre x20ac 569 millions."
positive,Ruukki a annoncé avoir signé un accord avec Aker Solutions de Norvège pour la fourniture de 24 ancres à succion en septembre 2010 depuis son unité de Kalajoki en Finlande.
positive,"Les volumes de livraison et les prix de vente de Ruukki ont connu une évolution favorable et les ventes nettes comparables de la société ont augmenté de 50 % sur un an pour atteindre 647 millions d'euros, a déclaré le PDG Sakari Tamminen."
positive,Les ventes nettes de Sanoma Magazines devraient croître en 2006 .
positive,La banque prévoit que le PIB finlandais augmentera de 2 % en 2010 et en 2011 .
positive,"Le rythme de production global du circuit sur une base hebdomadaire dépasse désormais en moyenne 40 000 tonnes par jour, avec des volumes dépassant 50 000 tonnes par jour étant atteints certains jours."
positive,"Le bénéfice d'exploitation consolidé de la société s'est élevé à 15,86 millions d'euros, contre 4,14 millions d'euros sur un an."
positive,La division des grands magasins a enregistré une augmentation de ses ventes de 4 pour cent.
positive,"La juste valeur des immeubles de placement de la société a augmenté pour atteindre 2,803 millions d'euros fin mars 2009, contre 2,691 millions d'euros il y a un an."
positive,"Le dernier trimestre a été le meilleur trimestre de l'année 2009 en termes de chiffre d'affaires et la marge opérationnelle s'est élevée à 12,2 %."
positive,"Les principales brasseries ont augmenté leurs ventes nationales de bière de 4,5 pour cent l'année dernière, passant de 245,92 millions de litres en 2004 à 256,88 millions de litres."
positive,La transaction double l'effectif de Tecnomens et ajoute un quart à son chiffre d'affaires net.
positive,"- Le résultat opérationnel a augmenté de 26,9% à 105,8 (83,4) millions d'euros."
positive,"« Après cet achat , Cramo deviendra le deuxième plus grand fournisseur de services de location sur le marché letton ."
positive,""" La priorité pour 2009 était de renforcer le bilan de l' entreprise et d' augmenter ses flux de trésorerie "" , a déclaré le PDG Hannu Krook ."
positive,« L' achat des opérations fait partie de la stratégie de YIT visant à étendre géographiquement son offre de services de systèmes de construction . ''
positive,"21 octobre 2010 - La société finlandaise d'articles de pêche Rapala VMC Corp (HEL : RAP1V) a annoncé aujourd'hui que son bénéfice net a augmenté à 18,9 millions d'euros pour les neuf premiers mois de 2010, contre 15,1 millions d'euros pour la même période un an plus tôt."
neutral,"Un logiciel BIM (Building Information Modeling) de structures de Tekla, un fournisseur de logiciels basés sur des modèles, a été adopté pour la gestion de la construction et la livraison d'un projet universitaire à Abu Dhabi."
positive,"Selon le finlandais Metso Minerals, la valeur des commandes de l'entreprise a augmenté jusqu'à 1,9 milliard d'euros en 12 mois."
positive,Le finlandais Aldata Solution a signé un contrat de fourniture de son G.O.L.D. système à deux enseignes françaises de vente au détail.
positive,"La Banque finlandaise de +_land annonce que son bénéfice d'exploitation a augmenté à 21,3 millions d'euros au deuxième trimestre 2009, contre 6,1 millions d'euros pour la période correspondante en 2008."
positive,"Le bénéfice d' exploitation du groupe financier finlandais Aktia pour 2009 a augmenté à 47,0 millions d' euros contre 6,6 millions d' euros en 2008 ."
positive,"Le chiffre d' affaires net du fabricant finlandais de machines forestières Ponsse a augmenté pour atteindre 51,3 millions d' euros au premier trimestre 2010 , contre 37,5 millions d' euros pour la période correspondante de 2009 ."
positive,Le finlandais KCI Konecranes a relevé son estimation de croissance des ventes nettes pour 2006 de plus de 25 % à plus de 35 %.
positive,"Le finlandais Okmetic, qui fabrique et traite des tranches de silicium pour les industries des semi-conducteurs et des capteurs, et la société norvégienne de tranches solaires NorSun ont signé un contrat en vertu duquel Okmetic fournira des cristaux de monosilicium NorSun destinés à la fabrication de cellules solaires."
positive,"Le chiffre d' affaires net de la société pharmaceutique finlandaise Orion a atteint 190 millions d' euros au premier trimestre 2009 , contre 180 millions d' euros au premier trimestre 2008 ."
positive,"Le finlandais Ponsse a signé un accord avec Babcock Africa pour la distribution et le support des machines forestières, des têtes d'abattage et des systèmes d'information Ponsse en Afrique du Sud."
positive,La sud-africaine Sappi deviendra la plus grande entreprise étrangère de l'industrie forestière opérant en Finlande suite à l'acquisition de l'unité commerciale des papiers graphiques de la société finlandaise M-real.
positive,"Selon le directeur général adjoint Pekka Silvennoinen, l'objectif est de doubler le chiffre d'affaires au cours des trois prochaines années."
positive,"Selon HKScan Finland, le projet est d'augmenter le chiffre d'affaires net de J+ervi-Suomen Portti de 80 à 100 millions d'euros."
positive,"Les revenus publicitaires et de diffusion ont augmenté respectivement de 3,4 % et de 0,4 % ."
positive,"Après le rachat, Cramo deviendra le deuxième plus grand fournisseur de services de location sur le marché letton."
positive,"Là encore, l'augmentation des ventes la plus significative, soit 18,6 %, a été enregistrée en Russie."
positive,Alma Média s'attend à ce que ses ventes nettes augmentent comme prévu précédemment.
positive,"Le bénéfice de Lemmink+inen pour la période comptable a également augmenté à 3,1 millions d'euros contre -24,5 millions d'euros il y a un an."
positive,"A fin mars 2007 , le carnet de commandes du groupe s'élève à 39,6 millions d' euros , en hausse de 42 % par rapport à la période correspondante de 2006 ."
positive,"Dans le même temps, le bénéfice de l'entreprise a augmenté de 10 % au premier semestre et a atteint 79 000 Ls."
neutral,"Aviation Systems Maintenance est basée au Kansas et a généré un chiffre d' affaires net de 2,6 millions de dollars en 2008 ."
positive,"En outre, nous avons augmenté la part de viande dans diverses saucisses et proposons un certain nombre de nouveaux goûts dans le segment des produits de grillades et des brochettes », a déclaré Paavel."
positive,"Le bénéfice d'exploitation et le chiffre d'affaires pour la période de 12 mois ont augmenté respectivement de 10,5 millions d'euros et 28,8 millions d'euros par rapport à l'exercice 2004."
positive,"Le résultat d'exploitation et le chiffre d'affaires net pour la période de 12 mois ont augmenté respectivement de 20,8 millions d'euros et de 177,7 millions d'euros par rapport à l'exercice 2004."
positive,"Le bénéfice d'exploitation et le chiffre d'affaires pour la période de 12 mois ont augmenté respectivement de 21,5 millions d'euros et 196,1 millions d'euros par rapport à 2005."
positive,"Le bénéfice d'exploitation et le chiffre d'affaires pour la période de 12 mois ont augmenté respectivement de 4,7 millions d'euros et 26,7 millions d'euros par rapport à 2004."
positive,"Le bénéfice d'exploitation et le chiffre d'affaires pour la période de neuf mois ont augmenté respectivement de 26,6 % et 3,4 % par rapport à la période correspondante de 2006."
positive,"Le résultat d'exploitation et le chiffre d'affaires net pour la période de six mois ont augmenté respectivement de 13,8 millions d'euros et de 143,6 millions d'euros par rapport à la période correspondante de 2007."
positive,"Le bénéfice d'exploitation et le chiffre d'affaires du semestre ont augmenté respectivement de 0,4 million d'euros et 3,2 millions d'euros par rapport à la période correspondante de 2005."
positive,"Le bénéfice d'exploitation et le chiffre d'affaires du semestre ont augmenté respectivement de 18,1 millions d'euros et 127,6 millions d'euros par rapport à la période correspondante de 2006."
